#{"t_start": 1632671971.0842528, "env_id": null}
r,l,t
1.142857,7,19.425392
1.357143,16,19.474227
-0.809524,9,19.504179
1.166667,8,19.531107
1.190476,9,19.560995
-0.690476,14,19.608867
1.214286,10,19.642777
-0.690476,14,19.690649
1.285714,13,19.732537
1.166667,8,19.759464
-9.738095,12,19.798392
-9.666667,15,19.975886
1.261905,12,20.012787
1.190476,9,20.041709
-0.738095,12,20.080605
1.142857,7,20.104541
-0.761905,11,20.14244
1.261905,12,20.182333
1.214286,10,20.215245
1.095238,5,20.232199
-0.928571,4,20.248157
1.214286,10,20.28107
-0.785714,10,20.314979
-9.714286,13,20.355869
1.071429,4,20.371826
-0.809524,9,20.403742
-0.809524,9,20.434658
1.095238,5,20.45261
-0.809524,9,20.484525
1.166667,8,20.510455
1.166667,8,20.536386
-9.714286,13,20.578274
1.238095,11,20.614178
1.119048,6,20.634124
1.166667,8,20.660055
1.309524,14,20.705044
1.190476,9,20.734961
1.166667,8,20.761857
1.142857,7,20.917441
1.238095,11,20.952348
-9.666667,15,20.998225
-0.904762,5,21.017174
-0.833333,8,21.0451
1.238095,11,21.080007
1.166667,8,21.106935
-0.880952,6,21.128876
1.142857,7,21.152811
-9.761905,11,21.186722
-0.714286,13,21.231601
-0.857143,7,21.258529
-9.785714,10,21.29144
-0.761905,11,21.329371
1.285714,13,21.371259
-0.714286,13,21.415111
-9.690476,14,21.45999
-0.833333,8,21.487915
1.285714,13,21.529802
-9.595238,18,21.584687
-9.690476,14,21.626578
-0.857143,7,21.650512
1.190476,9,21.683392
1.190476,9,21.716304
-0.761905,11,21.754202
-9.642857,16,21.946687
1.190476,9,21.978602
-0.738095,12,22.02049
1.142857,7,22.044426
1.357143,16,22.09529
-0.833333,8,22.12521
1.166667,8,22.153135
1.190476,9,22.184053
-0.904762,5,22.203002
-9.809524,9,22.23292
-0.738095,12,22.272815
-0.857143,7,22.297749
-0.809524,9,22.330661
-9.738095,12,22.370552
-9.809524,9,22.403466
-9.761905,11,22.443357
1.119048,6,22.466296
-0.809524,9,22.499208
-9.761905,11,22.53611
1.285714,13,22.580026
-0.785714,10,22.614928
-9.666667,15,22.661774
1.166667,8,22.6897
1.071429,4,22.704659
-9.809524,9,22.732584
-0.785714,10,22.765528
-9.738095,12,22.948887
-9.738095,12,22.990776
1.309524,14,23.038648
-9.833333,8,23.06461
-0.809524,9,23.095525
1.142857,7,23.12046
-0.785714,10,23.154369
1.071429,4,23.16933
-0.857143,7,23.196227
-9.761905,11,23.234126
-0.809524,9,23.268034
-9.738095,12,23.310919
1.214286,10,23.346824
-9.785714,10,23.37774
1.238095,11,23.414676
-0.857143,7,23.439575
1.071429,4,23.455532
-9.785714,10,23.488477
1.190476,9,23.520359
-9.761905,11,23.558271
-9.714286,13,23.599148
1.095238,5,23.618098
-0.714286,13,23.662977
-0.761905,11,23.698881
-0.761905,11,23.735782
1.309524,14,23.782657
-9.714286,13,23.963173
1.166667,8,23.990102
1.190476,9,24.019024
1.261905,12,24.058918
-0.809524,9,24.089869
1.214286,10,24.122785
-9.761905,11,24.156691
1.214286,10,24.1896
-9.714286,13,24.230458
1.166667,8,24.256389
-9.738095,12,24.294288
-0.833333,8,24.323211
1.309524,14,24.367134
-0.761905,11,24.403994
1.071429,4,24.417957
1.119048,6,24.439898
-0.833333,8,24.468821
-9.738095,12,24.507717
1.238095,11,24.54761
1.095238,5,24.565598
-9.857143,7,24.587533
1.142857,7,24.610475
1.238095,11,24.646377
1.119048,6,24.666293
-9.761905,11,24.700202
1.214286,10,24.733146
-0.761905,11,24.769056
-9.738095,12,24.934606
1.071429,4,24.948537
-0.833333,8,24.976495
1.095238,5,24.994446
1.119048,6,25.014393
1.166667,8,25.040324
1.119048,6,25.060272
1.214286,10,25.092185
1.238095,11,25.128057
1.238095,11,25.162999
-0.833333,8,25.191226
1.261905,12,25.233114
-9.690476,14,25.295947
-9.785714,10,25.329856
1.119048,6,25.352795
1.238095,11,25.390693
1.261905,12,25.429589
-0.809524,9,25.460507
1.166667,8,25.487468
-0.714286,13,25.529356
-0.809524,9,25.561237
-0.857143,7,25.587201
1.166667,8,25.617122
-9.690476,14,25.663995
-9.690476,14,25.712865
1.166667,8,25.742785
1.119048,6,25.765723
1.261905,12,25.937263
1.071429,4,25.952224
1.166667,8,25.980149
1.261905,12,26.020043
1.142857,7,26.044976
-0.761905,11,26.085866
-0.809524,9,26.122768
1.166667,8,26.153685
-9.690476,14,26.202554
-9.690476,14,26.247434
1.119048,6,26.268409
1.166667,8,26.295338
-0.785714,10,26.330212
-0.785714,10,26.365153
1.238095,11,26.401055
1.238095,11,26.437925
-0.833333,8,26.46585
1.214286,10,26.497798
1.119048,6,26.51874
1.142857,7,26.542644
-9.833333,8,26.570673
1.261905,12,26.611563
-9.833333,8,26.63849
1.309524,14,26.765152
1.142857,7,26.790086
-0.714286,13,26.837958
1.261905,12,26.884833
1.142857,7,26.912759
-9.761905,11,27.09128
-9.761905,11,27.127769
1.190476,9,27.159716
-0.761905,11,27.201572
1.238095,11,27.240469
-0.761905,11,27.278367
1.214286,10,27.31231
-0.833333,8,27.341198
1.214286,10,27.37411
1.238095,11,27.412155
1.309524,14,27.463021
1.214286,10,27.497926
1.261905,12,27.53782
1.142857,7,27.561787
-0.833333,8,27.590678
1.285714,13,27.634562
1.071429,4,27.651515
1.166667,8,27.680438
1.142857,7,27.706369
-0.880952,6,27.730304
1.214286,10,27.764245
1.261905,12,27.803144
-0.714286,13,27.847024
-9.761905,11,27.881931
1.214286,10,27.912847
1.142857,7,27.936786
-0.738095,12,28.121004
1.238095,11,28.154913
-0.809524,9,28.186827
-9.690476,14,28.23071
-0.738095,12,28.271601
1.214286,10,28.30551
1.238095,11,28.341414
-0.928571,4,28.358368
-0.785714,10,28.393275
1.214286,10,28.427184
1.142857,7,28.451121
-0.761905,11,28.489019
1.285714,13,28.531904
-0.714286,13,28.575787
1.285714,13,28.618672
1.166667,8,28.646597
-9.714286,13,28.688485
-0.738095,12,28.729375
1.166667,8,28.756303
1.166667,8,28.78423
-0.738095,12,28.825119
-9.666667,15,28.873988
1.119048,6,28.894933
-0.833333,8,28.926754
-9.714286,13,29.155144
-0.904762,5,29.176088
-9.738095,12,29.21598
1.238095,11,29.253879
1.119048,6,29.27582
-0.833333,8,29.30574
1.214286,10,29.340647
-9.666667,15,29.391511
1.142857,7,29.416444
-9.690476,14,29.464316
1.261905,12,29.507202
-9.785714,10,29.543104
1.285714,13,29.590977
-9.785714,10,29.628876
-9.785714,10,29.662785
-0.857143,7,29.689713
-9.761905,11,29.727612
1.142857,7,29.75454
1.261905,12,29.797426
1.309524,14,29.845297
1.285714,13,29.890177
1.285714,13,29.935056
1.119048,6,29.957995
-0.809524,9,29.990907
1.238095,11,30.031799
-9.761905,11,30.220292
-9.666667,15,30.270161
-9.738095,12,30.309056
-9.714286,13,30.352939
1.071429,4,30.367898
-0.714286,13,30.412778
1.190476,9,30.444693
1.238095,11,30.481594
-9.690476,14,30.527471
1.214286,10,30.561381
-0.714286,13,30.60626
-0.761905,11,30.647151
1.142857,7,30.672085
1.142857,7,30.697018
1.119048,6,30.718959
1.238095,11,30.754863
-0.833333,8,30.784783
1.071429,4,30.80074
-9.738095,12,30.839637
1.166667,8,30.867562
-0.738095,12,30.909449
1.190476,9,30.941364
-9.714286,13,30.983252
-9.738095,12,31.022147
-0.857143,7,31.047081
-0.738095,12,31.226631
1.142857,7,31.249579
-0.785714,10,31.284446
1.166667,8,31.312371
-0.833333,8,31.341294
1.119048,6,31.362238
-9.690476,14,31.408116
-9.619048,17,31.460974
1.119048,6,31.481918
1.166667,8,31.508847
-0.857143,7,31.533817
-9.738095,12,31.571677
-9.785714,10,31.603592
1.261905,12,31.642488
1.214286,10,31.676397
1.166667,8,31.703325
-0.619048,17,31.760173
1.190476,9,31.790093
-0.857143,7,31.816024
1.190476,9,31.846941
1.261905,12,31.887831
1.214286,10,31.921741
-9.690476,14,31.968616
1.214286,10,32.00452
-0.833333,8,32.034439
1.142857,7,32.06037
-0.809524,9,32.230945
-9.690476,14,32.274795
1.238095,11,32.315739
-0.761905,11,32.358625
-9.666667,15,32.414474
1.238095,11,32.458357
1.190476,9,32.491269
1.238095,11,32.530165
-0.809524,9,32.565072
-0.666667,15,32.616932
1.095238,5,32.634885
-0.880952,6,32.65882
1.261905,12,32.700708
-0.785714,10,32.735615
1.166667,8,32.762543
1.119048,6,32.783487
1.166667,8,32.812409
-9.714286,13,32.854297
-0.785714,10,32.890705
1.285714,13,32.940572
1.285714,13,32.990438
-9.761905,11,33.032326
-0.880952,6,33.058256
1.333333,15,33.112113
1.166667,8,33.141036
1.238095,11,33.316566
1.166667,8,33.343494
1.119048,6,33.366432
1.071429,4,33.38239
-9.833333,8,33.409318
1.119048,6,33.431259
1.238095,11,33.46816
1.166667,8,33.497083
-9.714286,13,33.541963
-9.714286,13,33.585845
1.238095,11,33.622747
1.095238,5,33.643814
1.166667,8,33.674731
1.166667,8,33.706645
-0.666667,15,33.765488
-0.785714,10,33.807375
-0.785714,10,33.846271
-9.690476,14,33.892148
1.071429,4,33.908106
-0.761905,11,33.947999
-0.809524,9,33.980911
1.238095,11,34.01881
1.166667,8,34.046735
1.119048,6,34.068676
1.095238,5,34.086628
1.166667,8,34.114554
-9.761905,11,34.14946
-0.738095,12,34.196336
1.190476,9,34.391813
1.095238,5,34.412756
1.095238,5,34.431705
-9.690476,14,34.479576
1.190476,9,34.510494
1.142857,7,34.535428
1.214286,10,34.571332
-0.714286,13,34.617208
-0.785714,10,34.653112
1.166667,8,34.682035
-0.833333,8,34.714948
1.261905,12,34.760825
-0.761905,11,34.805705
-0.904762,5,34.831635
1.142857,7,34.860558
-0.928571,4,34.879508
1.095238,5,34.898456
-9.666667,15,34.947325
-9.642857,16,35.000184
1.166667,8,35.028109
1.142857,7,35.053043
1.214286,10,35.088947
1.190476,9,35.12186
-9.738095,12,35.167397
1.142857,7,35.195322
-0.857143,7,35.223247
1.285714,13,35.273114
-0.880952,6,35.299044
-0.761905,11,35.486574
1.214286,10,35.52248
-9.761905,11,35.559347
-0.833333,8,35.589267
-9.785714,10,35.623177
1.190476,9,35.655092
-9.785714,10,35.689998
1.119048,6,35.711939
-9.714286,13,35.754824
1.261905,12,35.795715
1.238095,11,35.834611
1.238095,11,35.87251
-0.738095,12,35.915395
1.238095,11,35.953293
-9.642857,16,36.004157
1.238095,11,36.039064
-9.738095,12,36.076962
-9.738095,12,36.115858
1.261905,12,36.159742
1.142857,7,36.185672
1.261905,12,36.229555
1.095238,5,36.249501
-9.833333,8,36.278423
1.190476,9,36.310338
1.142857,7,36.334274
1.119048,6,36.355218
1.214286,10,36.523767
-0.880952,6,36.544711
-9.761905,11,36.579617
-0.809524,9,36.609537
1.214286,10,36.643447
1.214286,10,36.676359
1.119048,6,36.699296
1.261905,12,36.750193
-0.761905,11,36.787062
-0.785714,10,36.821969
1.142857,7,36.845905
-0.785714,10,36.881809
-9.785714,10,36.916717
1.119048,6,36.939655
1.190476,9,36.973564
1.142857,7,37.000492
-0.738095,12,37.04637
-0.880952,6,37.071303
1.214286,10,37.108203
1.095238,5,37.12815
1.333333,15,37.17702
1.285714,13,37.219904
-9.714286,13,37.259798
1.166667,8,37.286726
1.190476,9,37.316645
-0.833333,8,37.345568
1.238095,11,37.38247
-9.714286,13,37.556005
-0.857143,7,37.579941
1.238095,11,37.614848
1.214286,10,37.644767
-9.785714,10,37.675685
1.190476,9,37.705605
1.285714,13,37.747493
-9.761905,11,37.782399
1.095238,5,37.800351
1.190476,9,37.830271
1.190476,9,37.860191
1.238095,11,37.897092
-0.785714,10,37.931001
1.166667,8,37.95793
1.238095,11,37.993834
-9.714286,13,38.033727
1.119048,6,38.054671
1.166667,8,38.081599
1.214286,10,38.114511
-9.738095,12,38.151412
1.071429,4,38.166372
1.214286,10,38.197293
-0.785714,10,38.232195
1.214286,10,38.26514
-9.714286,13,38.305998
-9.738095,12,38.343897
1.142857,7,38.497525
1.166667,8,38.522419
-9.761905,11,38.557325
1.166667,8,38.583256
1.190476,9,38.613177
1.214286,10,38.648782
-9.690476,14,38.697651
1.142857,7,38.724579
1.309524,14,38.772451
-9.761905,11,38.808355
-9.761905,11,38.843262
1.190476,9,38.874179
-0.738095,12,38.91507
-9.785714,10,38.946985
-0.738095,12,38.991384
1.190476,9,39.024296
1.285714,13,39.071171
1.309524,14,39.122035
-9.857143,7,39.146968
1.166667,8,39.17589
1.190476,9,39.20581
1.190476,9,39.23573
1.214286,10,39.269639
-0.809524,9,39.301554
1.309524,14,39.347432
1.214286,10,39.530941
1.142857,7,39.557868
-0.785714,10,39.595767
1.190476,9,39.626684
-0.904762,5,39.645634
-9.785714,10,39.679543
-0.857143,7,39.705473
-9.738095,12,39.744369
1.166667,8,39.776292
-0.809524,9,39.811191
-0.738095,12,39.855074
1.190476,9,39.887986
1.238095,11,39.927878
1.071429,4,39.943836
-0.928571,4,39.96079
1.238095,11,39.997691
1.190476,9,40.027611
-9.785714,10,40.058528
-9.666667,15,40.1064
-9.809524,9,40.134326
-9.690476,14,40.178246
1.238095,11,40.214151
1.166667,8,40.241079
1.095238,5,40.258033
1.238095,11,40.293937
-9.714286,13,40.332864
-0.738095,12,40.37377
-0.809524,9,40.538284
-0.714286,13,40.585158
-9.761905,11,40.624055
1.095238,5,40.646992
1.119048,6,40.668934
-0.785714,10,40.705835
1.261905,12,40.745728
1.095238,5,40.764678
1.095238,5,40.782629
1.190476,9,40.814544
1.261905,12,40.854437
1.190476,9,40.884358
1.309524,14,40.931232
-0.880952,6,40.954171
-9.714286,13,40.995093
1.142857,7,41.019029
1.238095,11,41.05593
1.190476,9,41.085852
-0.833333,8,41.113744
1.214286,10,41.147688
1.238095,11,41.183589
1.238095,11,41.219493
-0.857143,7,41.244394
1.190476,9,41.275311
-0.833333,8,41.302239
1.214286,10,41.335151
1.095238,5,41.353104
-0.904762,5,41.372084
1.261905,12,41.408989
-0.880952,6,41.569294
-9.738095,12,41.611182
1.190476,9,41.645091
1.214286,10,41.680996
-0.761905,11,41.721885
1.214286,10,41.756792
1.095238,5,41.777736
-0.761905,11,41.81763
1.190476,9,41.853533
1.166667,8,41.883452
-9.714286,13,41.927336
1.238095,11,41.966232
-0.761905,11,42.005128
-9.666667,15,42.052999
-0.714286,13,42.097879
1.095238,5,42.117826
1.190476,9,42.148743
-9.738095,12,42.186642
1.238095,11,42.222579
-0.714286,13,42.266466
-9.714286,13,42.306321
-0.904762,5,42.324309
1.285714,13,42.365164
1.261905,12,42.403063
-0.738095,12,42.58358
-9.761905,11,42.618522
1.190476,9,42.648439
-0.809524,9,42.681319
1.095238,5,42.702263
1.238095,11,42.741158
-9.690476,14,42.790029
-0.809524,9,42.826928
-0.809524,9,42.860838
1.166667,8,42.888763
1.285714,13,42.931648
1.261905,12,42.975531
1.142857,7,42.999466
1.309524,14,43.04335
1.309524,14,43.090225
-9.761905,11,43.126128
1.309524,14,43.170011
-0.857143,7,43.194976
-0.785714,10,43.228885
1.142857,7,43.252821
-0.738095,12,43.293711
1.190476,9,43.323633
-0.880952,6,43.345541
1.261905,12,43.385435
-0.809524,9,43.416352
-0.857143,7,43.441285
1.261905,12,43.61881
-0.761905,11,43.657706
1.142857,7,43.680644
1.238095,11,43.715551
-9.761905,11,43.750458
1.142857,7,43.774393
1.142857,7,43.798329
-0.809524,9,43.830249
1.357143,16,43.882105
1.214286,10,43.916015
-9.738095,12,43.954942
1.285714,13,43.997829
1.166667,8,44.024756
1.261905,12,44.064649
-9.714286,13,44.107534
1.309524,14,44.155406
-0.714286,13,44.199295
1.190476,9,44.229208
1.119048,6,44.250122
1.166667,8,44.278081
-0.785714,10,44.311987
1.238095,11,44.348888
-0.833333,8,44.374788
-0.880952,6,44.397726
-9.857143,7,44.420665
1.095238,5,44.43762
1.285714,13,44.617183
1.309524,14,44.659028
1.285714,13,44.699917
1.142857,7,44.723853
