#{"t_start": 1632727181.1967397, "env_id": null}
r,l,t
-9.595238,18,56.128393
1.333333,15,56.174874
1.119048,6,56.19482
-0.857143,7,56.216284
-9.690476,14,56.25423
1.166667,8,56.4068
1.190476,9,56.433558
-0.690476,14,56.476221
1.214286,10,56.507158
1.214286,10,56.537138
1.119048,6,56.555093
-0.785714,10,56.588005
-9.785714,10,56.616747
1.071429,4,56.629713
1.357143,16,56.673523
-9.809524,9,56.700948
1.190476,9,56.728583
1.119048,6,56.746538
-0.809524,9,56.774818
1.238095,11,56.805877
-0.809524,9,56.832857
1.190476,9,56.859785
-9.833333,8,56.883754
1.166667,8,56.908476
-0.785714,10,56.93916
-0.904762,5,56.957159
1.285714,13,56.995157
1.238095,11,57.027605
-9.666667,15,57.068263
1.190476,9,57.09631
1.380952,17,57.1457
-0.738095,12,57.324785
1.214286,10,57.353097
1.214286,10,57.383017
1.261905,12,57.41939
1.238095,11,57.451444
-0.880952,6,57.471478
1.119048,6,57.490112
-0.809524,9,57.51755
1.190476,9,57.546152
1.071429,4,57.560114
-9.690476,14,57.598257
1.261905,12,57.632167
-9.809524,9,57.657906
1.166667,8,57.681848
1.285714,13,57.718942
-0.833333,8,57.744873
1.261905,12,57.779779
-9.666667,15,57.822066
-0.880952,6,57.842009
-0.761905,11,57.875668
1.309524,14,57.915188
-0.690476,14,57.956061
1.190476,9,57.982995
-0.714286,13,58.020985
1.238095,11,58.053897
-0.904762,5,58.199762
-0.833333,8,58.223789
1.238095,11,58.256469
1.261905,12,58.291071
1.214286,10,58.32498
-0.761905,11,58.359895
-0.761905,11,58.396158
1.119048,6,58.416106
1.190476,9,58.445054
1.190476,9,58.472949
1.142857,7,58.49489
1.119048,6,58.514892
-0.761905,11,58.54881
1.095238,5,58.565288
1.166667,8,58.589224
-0.738095,12,58.626054
-9.857143,7,58.647003
-9.738095,12,58.681952
1.119048,6,58.700857
-0.714286,13,58.738755
-0.833333,8,58.764686
1.261905,12,58.799012
-9.857143,7,58.820955
1.142857,7,58.841576
1.142857,7,58.863591
1.166667,8,58.888211
1.142857,7,58.909154
1.119048,6,58.928104
1.190476,9,58.954034
1.071429,4,58.967894
1.238095,11,59.127591
1.142857,7,59.147884
1.142857,7,59.170879
-0.690476,14,59.212054
1.285714,13,59.248846
1.166667,8,59.272697
1.261905,12,59.30794
-0.857143,7,59.330878
1.071429,4,59.342846
1.238095,11,59.373706
-9.761905,11,59.404647
-0.666667,15,59.448259
1.071429,4,59.460227
1.190476,9,59.486157
1.238095,11,59.520067
-0.714286,13,59.558995
1.309524,14,59.601017
1.119048,6,59.619535
1.119048,6,59.638488
1.214286,10,59.669132
-0.785714,10,59.698372
1.190476,9,59.724889
-0.761905,11,59.757995
1.071429,4,59.770961
-9.666667,15,59.812848
1.357143,16,59.856796
1.142857,7,60.004442
-0.880952,6,60.02243
-9.738095,12,60.055801
1.071429,4,60.069794
1.071429,4,60.082329
1.214286,10,60.111034
1.095238,5,60.127563
1.190476,9,60.156698
1.214286,10,60.185999
-0.809524,9,60.214028
-9.738095,12,60.247976
1.142857,7,60.268968
1.238095,11,60.300146
1.238095,11,60.331066
1.166667,8,60.354005
1.142857,7,60.374949
1.142857,7,60.397108
1.309524,14,60.43602
1.214286,10,60.464031
-0.880952,6,60.483874
1.190476,9,60.510903
-0.761905,11,60.543815
1.238095,11,60.576465
1.142857,7,60.59894
-0.714286,13,60.63815
-9.714286,13,60.678273
-9.785714,10,60.712732
-0.785714,10,60.743259
1.238095,11,60.903838
1.238095,11,60.935738
1.119048,6,60.954423
-0.761905,11,60.988086
-0.928571,4,61.002112
1.214286,10,61.032519
-0.809524,9,61.059394
-0.809524,9,61.08832
1.095238,5,61.104939
1.285714,13,61.142072
-9.809524,9,61.169997
1.142857,7,61.191009
-9.761905,11,61.222072
-9.738095,12,61.257076
-0.809524,9,61.285056
1.119048,6,61.303008
-9.761905,11,61.336046
1.119048,6,61.354048
-0.833333,8,61.378877
1.261905,12,61.413896
-9.714286,13,61.448931
-9.785714,10,61.476203
-0.833333,8,61.50007
-9.714286,13,61.537044
1.166667,8,61.558985
-9.785714,10,61.586982
-9.809524,9,61.612872
-9.785714,10,61.64133
-0.761905,11,61.814181
1.238095,11,61.847419
-0.690476,14,61.890954
-0.833333,8,61.91689
1.166667,8,61.940579
-0.833333,8,61.964487
1.166667,8,61.989421
-9.690476,14,62.027539
1.166667,8,62.053408
1.142857,7,62.073958
1.142857,7,62.094902
1.261905,12,62.129929
1.166667,8,62.152889
-9.714286,13,62.188203
1.166667,8,62.210986
1.261905,12,62.244899
1.166667,8,62.267904
1.261905,12,62.30187
1.142857,7,62.323686
-0.833333,8,62.347103
1.214286,10,62.378497
1.119048,6,62.397223
-9.666667,15,62.437876
-9.761905,11,62.468903
1.119048,6,62.487852
-0.809524,9,62.516525
1.309524,14,62.685038
1.285714,13,62.721781
1.071429,4,62.735724
1.261905,12,62.772147
1.214286,10,62.801034
1.166667,8,62.826198
1.214286,10,62.856157
1.309524,14,62.89616
1.142857,7,62.918102
1.142857,7,62.939929
-0.761905,11,62.974913
-0.761905,11,63.040088
1.261905,12,63.07303
1.142857,7,63.095968
1.238095,11,63.126886
1.238095,11,63.15926
1.166667,8,63.183703
-0.833333,8,63.208553
-0.833333,8,63.233099
1.285714,13,63.270998
1.261905,12,63.306446
1.214286,10,63.33633
-0.904762,5,63.354382
1.261905,12,63.388091
1.357143,16,63.433105
1.166667,8,63.457041
1.214286,10,63.615275
1.214286,10,63.644198
1.309524,14,63.68416
1.261905,12,63.719067
1.238095,11,63.752675
1.119048,6,63.771621
1.214286,10,63.801149
-9.714286,13,63.838179
1.119048,6,63.857128
-9.666667,15,63.899204
1.214286,10,63.928232
1.214286,10,63.95721
-9.714286,13,63.994052
1.238095,11,64.024921
-0.880952,6,64.043861
-0.857143,7,64.066799
-0.833333,8,64.093148
1.119048,6,64.11328
1.190476,9,64.149518
1.309524,14,64.192974
-0.857143,7,64.215413
1.119048,6,64.235363
1.214286,10,64.274149
-9.738095,12,64.312475
1.095238,5,64.328433
-0.761905,11,64.363871
1.095238,5,64.380145
1.214286,10,64.538205
